Gene ID	Gene Name	g4_g3.p-value	g4_g3.log2foldchange	g2_g1.p-value	g2_g1.log2foldchange
ENSG00000032444	PNPLA6	0.764462473	0.2	0.664349947	0.2
ENSG00000033178	UBA6	0.654887025	0.1	0.608038946	-0.1
ENSG00000033627	ATP6V0A1	0.605716512	0	0.013008932	0.2
ENSG00000034713	GABARAPL2	0.348689529	-0.1	0.003139393	-0.5
ENSG00000035403	VCL	0.882252081	0	0.574726309	0
ENSG00000035687	ADSS2	0.581881887	0.1	0.023649078	-0.3
ENSG00000036257	CUL3	0.430651437	0.5	0.907533402	0
ENSG00000038274	MAT2B	0.731087103	0	0.00145437	0.2
ENSG00000038382	TRIO	0.666360321	0.1	0.693166951	-0.1
ENSG00000038427	VCAN	0.681126278	0	0.024661199	-0.1
ENSG00000039319	ZFYVE16	0.173959109	0.7	0.784291893	-0.1
ENSG00000040341	STAU2	0.969996102	0	0.681301921	0.1
ENSG00000040731	CDH10	0.553376909	-0.2	0.019737688	0.6
ENSG00000040933	INPP4A	0.654887025	0	0.343047433	0.1
ENSG00000041982	TNC	0.149047333	0.2	0.002094232	-0.4
ENSG00000042493	CAPG	0.492401119	-0.1	0.144708232	-0.2
ENSG00000042753	AP2S1	0.889181043	0	0.260577299	0.2
ENSG00000044574	HSPA5	0.430651437	0.1	0.738424298	0
ENSG00000047056	WDR37	0.952243584	0	0.536429838	-0.1
ENSG00000047249	ATP6V1H	0.955698172	0	0.029960255	0.3
ENSG00000047410	TPR	0.84230033	0	0.85823188	0
ENSG00000047457	CP	0.851270847	0	0.247709641	0.1
ENSG00000047849	MAP4	0.789276301	0	0.047112594	-0.2
ENSG00000048392	RRM2B	0.402127962	-0.1	0.148890196	0.1
ENSG00000048707	VPS13D	0.83932298	0	0.130498095	0.2
ENSG00000049759	NEDD4L	0.9743872	0	0.437901407	0.3
ENSG00000049860	HEXB	0.205625846	0.3	0.8765347	0
ENSG00000050165	DKK3	0.405657097	0.1	0.042999036	-0.2
ENSG00000050405	LIMA1	0.239147896	0.6	0.316434414	-0.3
ENSG00000050426	LETMD1	0.636903408	-0.1	0.15911922	0.2
ENSG00000051620	HEBP2	0.034261968	0.3	0.034825306	-0.2
ENSG00000054116	TRAPPC3	0.295189322	0.2	0.581499456	0.1
ENSG00000054356	PTPRN	0.051506345	0.7	0.01532417	0.5
ENSG00000054654	SYNE2	0.655890653	0.2	0.071320545	0.9
ENSG00000054983	GALC	0.045281389	0.3	0.014436255	-0.2
ENSG00000055163	CYFIP2	0.783247021	0	0.877105013	0
ENSG00000055332	EIF2AK2	0.664548587	0.1	0.040378466	-0.2
ENSG00000055955	ITIH4	0.523555379	0.7	0.384028083	0.6
ENSG00000057608	GDI2	0.361195247	-0.1	0.462587681	0.1
ENSG00000057663	ATG5	0.800802088	0	0.030270841	0.4
ENSG00000057757	PITHD1	0.830220725	0	0.244596292	0.1
ENSG00000058272	PPP1R12A	0.531656356	0.3	0.040754096	0.7
ENSG00000058404	CAMK2B	0.59973337	0.1	0.700370307	0
ENSG00000058668	ATP2B4	0.091668137	-0.2	0.961829409	0
ENSG00000059573	ALDH18A1	0.052894878	0.2	0.025936812	0.1
ENSG00000059915	PSD	0.218448376	-0.3	0.031104502	0.3
ENSG00000060971	ACAA1	0.437804069	0.6	0.812802562	0.1
ENSG00000060982	BCAT1	0.837032758	-0.1	0.403384765	0.1
ENSG00000061676	NCKAP1	0.593559773	0	0.086368903	0.1
ENSG00000061918	GUCY1B1	0.863789895	0	0.642555494	-0.1
ENSG00000061987	MON2	0.431356075	-0.1	0.006200962	0.3
ENSG00000062485	CS	0.934318811	0	0.265561545	0
ENSG00000062598	ELMO2	0.488801132	0.2	0.85410782	0
ENSG00000063177	RPL18	0.646385971	0.1	0.087504831	0.2
ENSG00000064042	LIMCH1	0.864874462	0	0.340919503	0.1
ENSG00000064607	SUGP2	0.33789204	0.2	0.77072471	0
ENSG00000064651	SLC12A2	0.719866112	0	0.19219436	0.1
ENSG00000065000	AP3D1	0.290207755	0.3	0.010147488	0.6
ENSG00000065135	GNAI3	0.420764277	-0.1	0.202810461	-0.1
ENSG00000065154	OAT	0.878621413	0	0.003862504	0.3
ENSG00000065427	KARS1	0.575685399	-0.1	0.13726421	-0.2
ENSG00000065518	NDUFB4	0.589795444	0.1	0.000578347	0.7
ENSG00000065534	MYLK	0.862630507	0	0.025954688	0.3
ENSG00000065559	MAP2K4	0.819097791	-0.2	0.707077164	0.2
ENSG00000065609	SNAP91	0.392347752	0.2	0.015805482	0.5
ENSG00000065833	ME1	0.42921714	0.2	0.916427683	0
ENSG00000066027	PPP2R5A	0.816527199	0	0.173643621	0.2
ENSG00000066032	CTNNA2	0.581881887	-0.1	0.021350706	-0.2
ENSG00000066044	ELAVL1	0.561581153	0.1	0.59994244	-0.1
ENSG00000066084	DIP2B	0.302682442	0.1	0.008134923	0.3
ENSG00000066248	NGEF	0.720591579	-0.1	0.024390513	0.5
ENSG00000066427	ATXN3	0.226771845	0.3	0.011582435	0.5
ENSG00000066557	LRRC40	0.499290396	-0.1	0.045611807	0.2
ENSG00000066583	ISOC1	0.709456485	0.1	0.025954688	0.5
ENSG00000066739	ATG2B	0.783540275	0.1	0.061683527	0.4
ENSG00000066926	FECH	0.795271743	0.1	0.570718798	0.1
ENSG00000067057	PFKP	0.05979909	0.1	0.34055776	0
ENSG00000067141	NEO1	0.771834916	0	0.936703719	0
ENSG00000067177	PHKA1	0.693022374	0.2	0.928525267	0
ENSG00000067191	CACNB1	0.816831442	-0.1	0.295273698	0.3
ENSG00000067369	TP53BP1	0.795271743	0.2	0.860940891	0.1
ENSG00000067704	IARS2	0.679504973	0	0.33817288	0
ENSG00000067715	SYT1	0.783840654	0	0.000340517	0.4
ENSG00000067829	IDH3G	0.703135704	-0.1	0.904986954	0
ENSG00000067836	ROGDI	0.982839607	0	0.029960255	0.2
ENSG00000067900	ROCK1	0.181920609	-0.3	0.448922057	-0.1
ENSG00000067992	PDK3	0.4017118	0.1	0.002118872	0.4
ENSG00000068120	COASY	0.718702677	0.2	0.884846329	-0.1
ENSG00000068383	INPP5A	0.608924187	0	0.030638781	0.2
ENSG00000068400	GRIPAP1	0.986523222	0	0.118099255	0.1
ENSG00000068615	REEP1	0.096051517	-0.4	0.99835672	0
ENSG00000068796	KIF2A	0.605716512	0.1	0.017402112	-0.3
ENSG00000068912	ERLEC1	0.105656033	-0.3	0.00787881	0.4
ENSG00000068976	PYGM	0.560840724	0	0.029687867	-0.1
ENSG00000069329	VPS35	0.371904603	0.2	0.00564033	-0.6
ENSG00000069345	DNAJA2	0.960359377	0	0.045617019	-0.5
ENSG00000069424	KCNAB2	0.978847342	0	0.020308419	-0.4
ENSG00000069535	MAOB	0.439220737	-0.1	0.009741943	-0.2
ENSG00000069849	ATP1B3	0.797472425	0	0.147730647	0
ENSG00000069966	GNB5	0.901017297	-0.1	0.42902475	0.2
ENSG00000070010	UFD1	0.254258074	-0.1	0.769007786	0
ENSG00000070061	ELP1	0.21565209	-0.2	0.9788937	0
ENSG00000070081	NUCB2	0.538450491	0.3	0.472323222	-0.2
ENSG00000070087	PFN2	0.224401567	0.2	0.797470953	0
ENSG00000070182	SPTB	0.350105501	0.2	0.988051001	0
ENSG00000070214	SLC44A1	0.747950179	0.1	0.718261955	0.1
ENSG00000070366	SMG6	0.321325614	-0.2	0.05590787	0.4
ENSG00000070367	EXOC5	0.56900296	-0.2	0.157088872	0.3
ENSG00000070610	GBA2	0.366141724	0.2	0.021350706	0.4
ENSG00000070669	ASNS	0.74026483	0.2	0.463205161	0.3
ENSG00000070718	AP3M2	0.449212588	-0.1	0.081637832	0.2
ENSG00000070808	CAMK2A	0.361438409	0.1	0.000257366	0.4
ENSG00000070831	CDC42	0.301716956	0.4	0.660152022	0.1
ENSG00000070882	OSBPL3	0.532426327	0.4	0.886023093	0.1
ENSG00000070961	ATP2B1	0.731974416	0	0.005858524	0.4
ENSG00000071051	NCK2	0.923707993	0	0.93962398	0
ENSG00000071127	WDR1	0.12607604	0.3	0.173643621	-0.2
ENSG00000071242	RPS6KA2	0.747033376	-0.1	0.858832296	0
ENSG00000071553	ATP6AP1	0.138466425	0.2	0.011314783	0.3
ENSG00000072042	RDH11	0.553376909	-0.1	0.01370086	0.4
ENSG00000072110	ACTN1	0.725741703	-0.1	0.127955238	0.2
ENSG00000072134	EPN2	0.851130396	0	0.052723147	-0.3
ENSG00000072501	SMC1A	0.133564518	0.3	0.506674609	-0.1
ENSG00000072506	HSD17B10	0.580104115	0	0.000152603	0.3
ENSG00000072778	ACADVL	0.486024926	-0.2	0.089463879	0.3
ENSG00000072832	CRMP1	0.718817927	-0.1	0.119278306	0.2
ENSG00000072952	MRVI1	0.35462012	-0.5	0.996480675	0
ENSG00000073008	PVR	0.703135704	0.1	0.293185178	0.2
ENSG00000073578	SDHA	0.48305813	-0.1	0.291092676	0.1
ENSG00000073670	ADAM11	0.789276301	0.2	0.776207718	0.1
ENSG00000073921	PICALM	0.852820871	0	0.169193963	0.1
ENSG00000074054	CLASP1	0.279953618	0.2	0.114678942	-0.2
ENSG00000074317	SNCB	0.870773838	0	0.112686724	-0.2
ENSG00000074319	TSG101	0.763224311	-0.1	0.602756421	0.1
ENSG00000074582	BCS1L	0.77945787	0	0.140558195	-0.2
ENSG00000074590	NUAK1	0.96734418	0	0.592664299	0
ENSG00000074800	ENO1	0.687179026	0	0.003139393	-0.4
ENSG00000074842	MYDGF	0.3221219	0.3	0.26343416	0.2
ENSG00000075142	SRI	0.931209668	0	0.002323561	-0.7
ENSG00000075239	ACAT1	0.934104346	0	0.151350865	-0.2
ENSG00000075340	ADD2	0.611826581	0.1	0.062603027	0.2
ENSG00000075391	RASAL2	0.195615373	-0.2	0.279644489	0.1
ENSG00000075413	MARK3	0.264565288	-0.1	0.005045207	0.3
ENSG00000075618	FSCN1	0.728803443	-0.1	0.191227526	-0.1
ENSG00000075651	PLD1	0.086912681	0.3	0.372514034	-0.1
ENSG00000075711	DLG1	0.76422755	0.1	0.651549345	0.1
ENSG00000075785	RAB7A	0.932088101	0	0.243789469	-0.1
ENSG00000075945	KIFAP3	0.865151662	0	0.004272581	0.3
ENSG00000076043	REXO2	0.957286073	0	0.021616418	-0.3
ENSG00000076201	PTPN23	0.348689529	0.2	0.466155609	-0.1
ENSG00000076356	PLXNA2	0.010660111	-0.3	0.000255198	0.5
ENSG00000076513	ANKRD13A	0.134288685	0.3	0.250015134	-0.2
ENSG00000076554	TPD52	0.703135704	0.1	0.264536552	-0.2
ENSG00000076685	NT5C2	0.432141755	-0.1	0.061291447	-0.1
ENSG00000076706	MCAM	0.654887025	0.2	0.15940882	-0.5
ENSG00000076826	CAMSAP3	0.850845622	0	0.041655452	0.2
ENSG00000076864	RAP1GAP	0.898429422	0	0.052607549	-0.3
ENSG00000077063	CTTNBP2	0.703135704	0.1	0.017256798	0.5
ENSG00000077097	TOP2B	0.525973623	0.2	0.289861132	-0.2
ENSG00000077522	ACTN2	0.388692978	0	3.38E-05	0.7
ENSG00000077549	CAPZB	0.307640283	-0.1	0.003676666	0.2
ENSG00000078018	MAP2	0.723008756	0	0.014627944	0.2
ENSG00000078053	AMPH	0.538450491	-0.1	0.006637132	0.5
ENSG00000078070	MCCC1	0.87832356	0	0.094670015	-0.2
ENSG00000078114	NEBL	0.2954583	0.6	0.465754215	0.3
ENSG00000078140	UBE2K	0.347532708	0.3	0.411346377	-0.2
ENSG00000078142	PIK3C3	0.096051517	0.2	0.063539225	0.2
ENSG00000078237	TIGAR	0.738532446	0.1	0.091439613	-0.2
ENSG00000078668	VDAC3	0.302682442	0.2	0.180554382	0.2
ENSG00000078902	TOLLIP	0.199039905	0.3	0.523646579	-0.1
ENSG00000079246	XRCC5	0.216504886	-0.1	0.005045908	-0.2
ENSG00000079308	TNS1	0.942522718	0	0.202605574	0.2
ENSG00000079332	SAR1A	0.562873099	0.2	0.899582466	0
ENSG00000079435	LIPE	0.744321294	0	0.378892246	-0.1
ENSG00000079691	CARMIL1	0.301716956	-0.1	0.030881009	0.1
ENSG00000079739	PGM1	0.926148279	0	0.016239763	-0.3
ENSG00000079785	DDX1	0.58558405	0.1	0.023649078	-0.5
ENSG00000079805	DNM2	0.461405697	0.1	0.002888174	-0.3
ENSG00000079819	EPB41L2	0.902326531	0	0.002888174	-0.5
ENSG00000079841	RIMS1	0.35462012	0.7	0.229185627	0.6
ENSG00000079931	MOXD1	0.216504886	-0.1	0.002931447	0.3
ENSG00000079950	STX7	0.900450731	0	0.346791653	-0.2
ENSG00000080371	RAB21	0.649067635	0	0.876848009	0
ENSG00000080493	SLC4A4	0.640435997	0.1	0.070269115	-0.2
ENSG00000080819	CPOX	0.723413024	0.1	0.437867321	0.1
ENSG00000080824	HSP90AA1	0.402127962	0.1	0.834695208	0
ENSG00000080845	DLGAP4	0.433941367	0.2	0.455349409	0.1
ENSG00000080854	IGSF9B	0.445090565	0	0.000102218	0.5
ENSG00000081307	UBA5	0.703135704	-0.1	0.023800922	0.3
ENSG00000081760	AACS	0.392347752	0.2	0.986032051	0
ENSG00000081803	CADPS2	0.950476905	0	0.073043098	0.3
ENSG00000082153	BZW1	0.304508459	-0.2	0.058151498	-0.3
ENSG00000082212	ME2	0.638355491	0.1	0.122616219	-0.2
ENSG00000082397	EPB41L3	0.970521848	0	0.20945781	0.1
ENSG00000082458	DLG3	0.768536263	0.1	0.459099037	0.1
ENSG00000082898	XPO1	0.957286073	0	0.003305511	-0.2
ENSG00000083312	TNPO1	0.763224311	0.1	0.496729963	-0.2
ENSG00000083799	CYLD	0.420764277	0.4	0.406521105	0.3
ENSG00000084070	SMAP2	0.064147581	0.4	0.239268084	0.2
ENSG00000084073	ZMPSTE24	0.719866112	0.1	0.690684713	0.1
ENSG00000084207	GSTP1	0.607573168	0.1	0.142921274	-0.3
ENSG00000084234	APLP2	0.570166613	0.3	0.451443363	-0.3
ENSG00000084444	FAM234B	0.918323829	0	0.010956842	0.5
ENSG00000084674	APOB	0.877700238	0.1	0.499337704	-0.2
ENSG00000084733	RAB10	0.396588087	0.2	0.05709595	0.3
ENSG00000084754	HADHA	0.703090743	0.1	0.691375297	0
ENSG00000085117	CD82	0.384865564	0.3	0.387953205	-0.2
ENSG00000085224	ATRX	0.613360229	0.1	0.002888174	0.9
ENSG00000085377	PREP	0.019726833	0.2	0.000739858	0.3
ENSG00000085662	AKR1B1	0.962610057	0	0.043773983	-0.2
ENSG00000085719	CPNE3	0.497774116	0.3	0.836763814	-0.1
ENSG00000085832	EPS15	0.478892631	-0.1	0.000549894	-0.6
ENSG00000086289	EPDR1	0.501228862	-0.1	0.077481802	0.2
ENSG00000086758	HUWE1	0.507243299	0.2	0.382138312	0.1
ENSG00000086827	ZW10	0.081927036	-0.3	0.374727768	-0.1
ENSG00000087053	MTMR2	0.182952579	0.2	0.418457454	0.1
ENSG00000087086	FTL	0.181920609	-0.3	0.933075755	0
ENSG00000087191	PSMC5	0.071413307	0.5	0.036353584	-0.3
ENSG00000087274	ADD1	0.317983976	-0.1	0.250042663	0.1
ENSG00000087299	L2HGDH	0.036168277	0.5	0.017487796	0.3
ENSG00000087302	RTRAF	0.751677682	0	0.000889042	-0.6
ENSG00000087365	SF3B2	0.752718068	-0.1	0.02302706	-0.3
ENSG00000087460	GNAS	0.086937072	-0.1	0.004833958	0.1
ENSG00000087470	DNM1L	0.61742328	0	0.00158281	0.4
ENSG00000087842	PIR	0.752718068	0.1	0.259139718	-0.2
ENSG00000088247	KHSRP	0.370702238	0.1	0.002026528	0.2
ENSG00000088367	EPB41L1	0.723155055	0.1	0.659205018	0.1
ENSG00000088682	COQ9	0.221662021	-0.2	0.018640953	0.3
ENSG00000088832	FKBP1A	0.747224123	-0.1	0.005282787	0.7
ENSG00000088833	NSFL1C	0.57642133	-0.1	0.264536552	0.1
ENSG00000088992	TESC	0.693022374	-0.1	0.394840541	0.2
ENSG00000089006	SNX5	0.955698172	0	0.995515608	0
ENSG00000089009	RPL6	0.990721959	0	0.002334367	0.4
ENSG00000089154	GCN1	0.923707993	0	0.675662109	0.1
ENSG00000089157	RPLP0	0.882252081	0	0.207505648	-0.2
ENSG00000089169	RPH3A	0.268053166	-0.1	3.70E-05	0.8
ENSG00000089248	ERP29	0.488801132	0.1	0.301774865	0.1
ENSG00000089250	NOS1	0.374419165	0.2	0.279923855	0.2
ENSG00000089280	FUS	0.948459382	0	0.424892927	-0.1
ENSG00000089289	IGBP1	0.374419165	0.1	0.100825264	0.2
ENSG00000089597	GANAB	0.58558405	0	0.283086363	-0.1
ENSG00000090054	SPTLC1	0.163372892	0.6	0.642825054	-0.1
ENSG00000090273	NUDC	0.870552884	0	0.025502757	-0.2
ENSG00000090339	ICAM1	0.23930453	0.2	0.000340517	-0.9
ENSG00000090615	GOLGA3	0.177781703	0.4	0.530256845	-0.1
ENSG00000090621	PABPC4	0.900269608	0	0.079998156	0.1
ENSG00000090861	AARS1	0.659929078	0	0.671910695	0
ENSG00000090863	GLG1	0.739709666	0.1	0.471593606	-0.1
ENSG00000090975	PITPNM2	0.718702677	0.1	0.403954327	0.2
ENSG00000091129	NRCAM	0.913375852	0	0.000903999	0.4
ENSG00000091140	DLD	0.717639359	0	0.002714804	0.4
ENSG00000091157	WDR7	0.105479368	0.2	0.026645767	0.2
ENSG00000091164	TXNL1	0.342218283	0.1	0.00823494	-0.3
ENSG00000091409	ITGA6	0.533145322	0.2	0.136490937	-0.3
ENSG00000091428	RAPGEF4	0.62179891	-0.1	0.025110311	0.5
ENSG00000091483	FH	0.799859778	0.1	0.261720988	-0.2
ENSG00000091513	TF	0.850845622	0	0.001074232	-0.3
ENSG00000091527	CDV3	0.460301125	-0.1	0.024661199	-0.1
ENSG00000091622	PITPNM3	0.218448376	-0.2	0.001192743	0.6
ENSG00000092094	OSGEP	0.492401119	0.2	0.201952658	0.2
ENSG00000092621	PHGDH	0.12607604	0.2	0.021549379	-0.2
ENSG00000092820	EZR	0.84452964	0.1	0.015693621	-0.6
ENSG00000093144	ECHDC1	0.867967311	0	0.018256634	-0.3
ENSG00000093167	LRRFIP2	0.972750785	0	0.645919844	0.1
ENSG00000094631	HDAC6	0.689421376	0.1	0.408698773	0.2
ENSG00000095139	ARCN1	0.720858476	0.1	0.712337662	-0.1
ENSG00000095261	PSMD5	0.798535807	0	0.102492989	-0.2
ENSG00000095321	CRAT	0.444800979	0	0.512427892	0
ENSG00000095637	SORBS1	0.790889422	-0.1	0.379097878	-0.1
ENSG00000095713	CRTAC1	0.372289726	-0.2	0.272940946	0.2
ENSG00000096384	HSP90AB1	0.252089043	0.1	0.002377581	-0.3
ENSG00000096746	HNRNPH3	0.325343801	0.2	0.77803176	0
ENSG00000097021	ACOT7	0.545949614	0	0.002040728	0.3
ENSG00000097033	SH3GLB1	0.955698172	0	0.91439308	0
ENSG00000099204	ABLIM1	0.83932298	0.1	0.920946371	0
ENSG00000099246	RAB18	0.925573274	0	0.130498095	0.3
ENSG00000099282	TSPAN15	0.381833687	0.1	8.88E-05	-0.9
ENSG00000099308	MAST3	0.948459382	0	0.070197651	0.4
ENSG00000099622	CIRBP	0.374419165	-0.1	0.043248289	0.2
ENSG00000099624	ATP5F1D	0.165206044	0.2	0.920946371	0
ENSG00000099625	CBARP	0.16461927	0.4	0.008059438	0.7
ENSG00000099783	HNRNPM	0.793757729	0	0.015232958	0.2
ENSG00000099800	TIMM13	0.461405697	-0.1	0.00626843	-0.3
ENSG00000099814	CEP170B	0.262356404	0.1	0.005481735	0.4
ENSG00000099822	HCN2	0.529572678	0.1	0.5356998	-0.1
ENSG00000099864	PALM	0.884797547	0	0.085629442	0.1
ENSG00000099942	CRKL	0.83932298	0	0.004601179	-0.3
ENSG00000099968	BCL2L13	0.501228862	0.3	0.180554382	-0.5
ENSG00000100028	SNRPD3	0.70282017	0	0.977573853	0
ENSG00000100030	MAPK1	0.255736195	-0.1	0.100895581	-0.1
ENSG00000100075	SLC25A1	0.460691826	-0.1	0.164668687	-0.1
ENSG00000100083	GGA1	0.950476905	0	0.509641112	0.1
ENSG00000100097	LGALS1	0.682464819	0.1	0.006372546	-0.7
ENSG00000100116	GCAT	0.812705555	0.1	0.028254302	0.7
ENSG00000100129	EIF3L	0.224678715	-0.2	0.169886327	0.1
ENSG00000100167	SEPTIN3	0.709456485	0	0.017202623	0.2
ENSG00000100201	DDX17	0.188551719	0.2	0.146552374	-0.1
ENSG00000100220	RTCB	0.882801707	0	0.001796879	-0.5
ENSG00000100226	GTPBP1	0.923552804	0	0.701641357	0
ENSG00000100241	SBF1	0.786803567	0.1	0.051544287	0.3
ENSG00000100243	CYB5R3	0.948459382	0	0.165175125	-0.1
ENSG00000100266	PACSIN2	0.291256964	-0.1	0.440784767	-0.1
ENSG00000100280	AP1B1	0.948459382	0	0.092387131	0.3
ENSG00000100284	TOM1	0.003692458	-0.4	0.007618458	0.2
ENSG00000100285	NEFH	0.824566693	-0.1	0.733408099	0.1
ENSG00000100304	TTLL12	0.06405641	0.2	0.031608571	-0.2
ENSG00000100345	MYH9	0.570192733	0.1	0.002714804	-0.4
ENSG00000100347	SAMM50	0.023976481	-0.2	0.000614116	0.3
ENSG00000100353	EIF3D	0.497119549	0.1	0.090510744	-0.3
ENSG00000100364	KIAA0930	0.543345485	0.3	0.812409855	-0.1
ENSG00000100380	ST13	0.191635391	-0.2	0.004889336	-0.6
ENSG00000100401	RANGAP1	0.934500438	0	0.692276471	0.1
ENSG00000100412	ACO2	0.571138275	0	0.000131367	0.4
ENSG00000100427	MLC1	0.870773838	-0.1	0.651549345	0.1
ENSG00000100442	FKBP3	0.703135704	0.1	0.001898778	-0.5
ENSG00000100445	SDR39U1	0.757505717	0	0.000645142	0.3
ENSG00000100462	PRMT5	0.836697142	0.1	0.164245213	-0.3
ENSG00000100519	PSMC6	0.215300048	-0.2	0.039804707	0.3
ENSG00000100523	DDHD1	0.220768633	0.3	0.774016306	-0.1
ENSG00000100554	ATP6V1D	0.636344139	0.1	0.246635978	0.1
ENSG00000100567	PSMA3	0.515931053	0.1	0.020547715	0.4
ENSG00000100577	GSTZ1	0.172188639	-0.2	0.018256634	-0.3
ENSG00000100591	AHSA1	0.895663096	0	0.001074232	-0.3
ENSG00000100592	DAAM1	0.501228862	0.1	0.461553428	0.1
ENSG00000100614	PPM1A	0.177781703	-0.4	0.778732665	0
ENSG00000100664	EIF5	0.463836458	0.1	0.121275276	-0.2
ENSG00000100714	MTHFD1	0.611826581	0.2	0.592357656	-0.1
ENSG00000100764	PSMC1	0.338501989	0.1	0.014317397	0.3
ENSG00000100804	PSMB5	0.673490877	0.1	0.470349256	0.1
ENSG00000100813	ACIN1	0.177781703	-0.2	0.024661199	0.4
ENSG00000100836	PABPN1	0.374419165	-0.3	0.43536242	0.1
ENSG00000100883	SRP54	0.679906137	-0.1	0.018059849	0.4
ENSG00000100902	PSMA6	0.654887025	0.1	0.795895031	0
ENSG00000100983	GSS	0.561581153	0	0.00286055	0.2
